"age.yr.bp","temperature","temperature.rescaled"
539,-31.6029505607405,-1.74951106311511
540,-31.6135864173488,-1.74867294117501
541,-31.6242011477954,-1.7478364840091
542,-31.6348158782421,-1.7470000268432
543,-31.6454306086888,-1.74616356967729
544,-31.6560453391355,-1.74532711251138
545,-31.6666600695822,-1.74449065534547
546,-31.6772796933965,-1.74365381257462
547,-31.6871105892867,-1.7428791227833
548,-31.6928564071799,-1.74242634345226
549,-31.698031004563,-1.74201857718033
550,-31.7032077816964,-1.74161063914071
551,-31.7083845588298,-1.74120270110109
552,-31.7135613359631,-1.74079476306147
553,-31.7187381130965,-1.74038682502185
554,-31.7239148902299,-1.73997888698223
555,-31.7290835614073,-1.73957158770447
556,-31.7350606203848,-1.73910058621857
557,-31.7431966037627,-1.73845945815297
558,-31.7514635918807,-1.73780800671136
559,-31.7597305194735,-1.73715656003922
560,-31.7679974470664,-1.73650511336708
561,-31.7762643746593,-1.73585366669495
562,-31.7845313022521,-1.73520222002281
563,-31.7928081226298,-1.73454999378394
564,-31.7999312865311,-1.73398867745857
565,-31.8027371821776,-1.73376756854467
566,-31.8051248407227,-1.73357941736083
567,-31.8075132707185,-1.73339120538547
568,-31.8099017007143,-1.73320299341011
569,-31.8122901307102,-1.73301478143475
570,-31.814678560706,-1.73282656945939
571,-31.8170803328456,-1.73263730610248
572,-31.8181842292941,-1.73255031735609
573,-31.8163905620916,-1.73269166110404
574,-31.8144714971412,-1.73284288638834
575,-31.8125524321908,-1.73299411167265
576,-31.8106333672404,-1.73314533695695
577,-31.80871430229,-1.73329656224125
578,-31.8067952373397,-1.73344778752555
579,-31.8048791272743,-1.73359877996035
580,-31.802660166547,-1.7337736374954
581,-31.7995548027512,-1.73401834496233
582,-31.7963881996408,-1.73426787818191
583,-31.7932216345089,-1.73451740840872
584,-31.790055069377,-1.73476693863553
585,-31.7868885042451,-1.73501646886234
586,-31.7837219391132,-1.73526599908916
587,-31.7805554316223,-1.73551552477377
588,-31.7773070275294,-1.7357715040372
589,-31.7729087343737,-1.73611809633611
590,-31.7681241728798,-1.73649512717712
591,-31.7633433424913,-1.73687186400124
592,-31.7585625121029,-1.73724860082536
593,-31.7537816817144,-1.73762533764949
594,-31.749000851326,-1.73800207447361
595,-31.7442200209376,-1.73837881129773
596,-31.7394389208423,-1.73875556937517
597,-31.734703341654,-1.73912874033478
598,-31.7302133726033,-1.73948255683592
599,-31.7257595386381,-1.73983352583647
600,-31.7213055520634,-1.74018450686288
601,-31.7168515654887,-1.74053548788929
602,-31.7123975789141,-1.7408864689157
603,-31.7079435923394,-1.74123744994212
604,-31.7034891556919,-1.74158846643496
605,-31.6990834606649,-1.74193564201277
606,-31.6948419985661,-1.742269875782
607,-31.690614049533,-1.74260304470075
608,-31.686386086886,-1.7429362146923
609,-31.682158124239,-1.74326938468386
610,-31.677930161592,-1.74360255467541
611,-31.673702198945,-1.74393572466697
612,-31.6694742362981,-1.74426889465852
613,-31.6652184279055,-1.74460425893787
614,-31.6598686154358,-1.74502583242944
615,-31.6538893239067,-1.74549700984386
616,-31.6479158591836,-1.74596772809696
617,-31.6419423944605,-1.74643844635005
618,-31.6359689297375,-1.74690916460314
619,-31.6299954650144,-1.74737988285623
620,-31.6240220002914,-1.74785060110933
621,-31.618050869523,-1.74832113544318
622,-31.6125165546381,-1.74875724801025
623,-31.6073688681543,-1.74916289366173
624,-31.6022204438167,-1.74956859745722
625,-31.5970720194791,-1.7499743012527
626,-31.5919235951415,-1.75038000504819
627,-31.5867751708039,-1.75078570884368
628,-31.5816267464664,-1.75119141263917
629,-31.5764874695283,-1.75159639560544
630,-31.570438652083,-1.75207305176952
631,-31.5619864946968,-1.75273909483567
632,-31.5533909721821,-1.75341643529554
633,-31.5447955126917,-1.754093770789
634,-31.5362000532012,-1.75477110628246
635,-31.5276045937108,-1.75544844177592
636,-31.5190091342203,-1.75612577726939
637,-31.5104136747299,-1.75680311276285
638,-31.5019914790479,-1.7574667948004
639,-31.4995396847972,-1.75765999997698
640,-31.5003792119715,-1.75759384393802
641,-31.501187881265,-1.75753011954777
642,-31.5019965505585,-1.75746639515753
643,-31.5028052198519,-1.75740267076728
644,-31.5036138891454,-1.75733894637703
645,-31.5044225584388,-1.75727522198678
646,-31.5052222551105,-1.757212204653
647,-31.5071431244814,-1.75706083717757
648,-31.5136228195591,-1.75655022719008
649,-31.5205920562944,-1.75600104056329
650,-31.5275601640078,-1.75545194290519
651,-31.5345282717212,-1.75490284524709
652,-31.5414963794345,-1.75435374758898
653,-31.5484644871479,-1.75380464993088
654,-31.5554325948613,-1.75325555227277
655,-31.5621720211404,-1.75272447506515
656,-31.5635823731891,-1.75261333714379
657,-31.5625554152834,-1.75269426301409
658,-31.5615527290593,-1.75277327623836
659,-31.5605500428351,-1.75285228946263
660,-31.559547356611,-1.7529313026869
661,-31.5585446703868,-1.75301031591117
662,-31.5575419841627,-1.75308932913543
663,-31.5565570224331,-1.75316694564214
664,-31.5537488549271,-1.75338823358206
665,-31.5455434380378,-1.75403483311569
666,-31.5369597960471,-1.7547112373719
667,-31.5283763947182,-1.7553876226636
668,-31.5197929933893,-1.75606400795529
669,-31.5112095920604,-1.75674039324699
670,-31.5026261907315,-1.75741677853868
671,-31.4940427894026,-1.75809316383038
672,-31.4855045239206,-1.75876599234757
673,-31.4791760467583,-1.7592646861296
674,-31.4742601499385,-1.75965206639728
675,-31.4693333445181,-1.76004030627956
676,-31.4644065390976,-1.76042854616183
677,-31.4594797336772,-1.7608167860441
678,-31.4545529282568,-1.76120502592637
679,-31.4496261228363,-1.76159326580864
680,-31.4446985754043,-1.76198156416257
681,-31.4405300925741,-1.76231004705263
682,-31.4452678694594,-1.7619367029111
683,-31.4525664419305,-1.7613615641193
684,-31.4598419752902,-1.76078824084509
685,-31.46711750865,-1.76021491757088
686,-31.4743930420097,-1.75964159429667
687,-31.4816685753694,-1.75906827102246
688,-31.4889441087291,-1.75849494774825
689,-31.4962320845136,-1.75792064399174
690,-31.502288844399,-1.75744336195111
691,-31.5051490187277,-1.75721797579316
692,-31.5078240162588,-1.75700718185309
693,-31.5104990879132,-1.75679638207198
694,-31.5131741595676,-1.75658558229088
695,-31.515849231222,-1.75637478250977
696,-31.5185243028765,-1.75616398272866
697,-31.5211993745309,-1.75595318294756
698,-31.5238604312416,-1.75574348756568
699,-31.5283949634646,-1.75538615941768
700,-31.53576270951,-1.75480556964131
